THI,DT_COMP,V_DC_Link,v_out_rms,v_out_peak,i_load_peak,i_load_rms,p_load_avg,p_dc_input,tj_max,tj_avg
0,0,350,168.139,251.6,6.42949,4.47557,400.951,-412.462,45.6999,45.5528
0,0,352,168.988,252.076,6.46286,4.4974,405.074,-416.536,45.7099,45.5614
0,0,354,169.912,255.851,6.49948,4.52531,410.5,-421.668,45.7139,45.5641
0,0,356,170.834,256.387,6.54499,4.54855,414.495,-425.781,45.7243,45.5715
0,0,358,171.782,259.296,6.57551,4.57107,418.641,-430.106,45.7323,45.5796
0,0,360,172.867,260.843,6.60103,4.59903,423.99,-435.506,45.7388,45.5853
0,0,362,173.472,261.68,6.63429,4.61871,427.217,-439.238,45.7468,45.5901
0,0,364,174.296,262.117,6.66773,4.64058,431.366,-443.35,45.7559,45.5967
0,0,366,175.231,262.41,6.69361,4.66539,436.031,-448.167,45.7664,45.6029
0,0,368,175.94,265.322,6.73048,4.68733,440.303,-452.501,45.7704,45.6098
0,0,370,176.964,266.512,6.7574,4.71254,444.872,-457.313,45.7866,45.6184
0,0,372,177.819,265.069,6.7884,4.73789,449.767,-462.232,45.7867,45.6204
0,0,374,178.361,266.901,6.81819,4.74916,451.786,-464.395,45.8047,45.6327
0,0,376,179.291,268.765,6.8499,4.77152,456.072,-468.843,45.8134,45.6386
0,0,378,179.999,270.78,6.88001,4.79145,459.83,-472.772,45.8194,45.6465
0,0,380,180.892,271.522,6.90919,4.81513,464.325,-477.5,45.8242,45.6501
0,0,382,181.7,275.177,6.94243,4.83539,468.254,-481.683,45.8319,45.6573
0,0,384,182.626,277.316,6.98394,4.85835,472.978,-486.306,45.8425,45.6665
0,0,386,183.452,278.415,7.02194,4.88154,477.383,-490.999,45.8494,45.6711
0,0,388,184.238,278.023,7.04914,4.90214,481.408,-495.155,45.8532,45.6769
0,0,390,185.195,279.458,7.08851,4.92671,486.349,-500.019,45.8616,45.6856
0,0,392,185.623,280.78,7.11839,4.93297,487.717,-501.539,45.8775,45.6992
0,0,394,186.414,283.707,7.13952,4.95031,491.024,-505.1,45.8902,45.7082
0,0,396,187.14,284.554,7.16925,4.97055,495.105,-509.169,45.9068,45.7241
0,0,398,188.153,284.607,7.208,4.99837,500.607,-515.027,45.9101,45.7218
0,0,400,188.676,282.673,7.23772,5.01391,503.635,-518.13,45.9167,45.7317
0,0,402,189.581,283.563,7.27144,5.03777,508.683,-523.092,45.9271,45.7375
0,0,404,190.198,284.933,7.28538,5.05016,510.778,-525.596,45.939,45.7464
0,0,406,191.059,286.296,7.32275,5.07996,517.281,-531.995,45.9409,45.7502
0,0,408,192.069,290.247,7.36028,5.09911,520.666,-535.795,45.9553,45.761
0,0,410,192.729,290.113,7.38683,5.11768,524.908,-539.856,45.9711,45.7758
0,0,412,193.623,292.685,7.44452,5.1426,529.497,-544.595,45.9745,45.7762
0,0,414,194.307,290.606,7.44728,5.16795,535.029,-550.271,45.9818,45.7808
0,0,416,195.244,288.957,7.47903,5.19455,540.848,-555.826,45.9908,45.7875
0,0,418,195.984,288.549,7.51249,5.21902,545.963,-561.075,45.9974,45.7948
0,0,420,196.878,293.948,7.54161,5.23672,549.604,-564.976,46.0085,45.8038
0,0,422,197.791,294.885,7.57881,5.25969,554.328,-570.025,46.0187,45.8138
0,0,424,198.422,294.515,7.59738,5.28431,559.531,-575.153,46.0256,45.8194
0,0,426,199.365,295.263,7.64122,5.30982,565.26,-580.897,46.0371,45.8263
0,0,428,200.285,296.771,7.67597,5.33898,571.249,-587.239,46.0453,45.8308
0,0,430,201.043,297.473,7.70586,5.36059,576.313,-592.064,46.0543,45.8393
0,0,432,202.013,300.343,7.74223,5.38243,580.275,-596.669,46.0631,45.8433
0,0,434,202.722,299.443,7.76328,5.40677,585.835,-602.21,46.0736,45.8546
0,0,436,203.387,300.759,7.7963,5.42072,588.777,-605.24,46.0874,45.8644
0,0,438,204.441,302.82,7.83637,5.45069,595.642,-612.244,46.0878,45.8628
0,0,440,205.279,302.105,7.86599,5.47063,599.579,-616.553,46.1002,45.8702
0,0,442,206.082,299.437,7.90649,5.49554,604.915,-621.914,46.1126,45.8793
0,0,444,207.167,307.082,7.95286,5.53272,613.651,-630.333,46.0952,45.8668
0,0,446,208.168,309.301,7.97148,5.56052,619.937,-636.756,46.1099,45.8787
0,0,448,208.908,306.509,7.99245,5.57894,624.186,-641.32,46.1203,45.8885
0,0,450,210.053,310.06,8.05025,5.60732,630.984,-648.085,46.1316,45.904
1,0,350,170.831,229.767,6.41235,4.45936,398.363,-409.794,45.7162,45.565
1,0,352,171.85,235.383,6.46917,4.49021,403.984,-415.402,45.7205,45.5679
1,0,354,172.895,235.018,6.48733,4.51503,408.313,-420.073,45.7292,45.5757
1,0,356,173.694,235.502,6.5249,4.53724,412.449,-424.299,45.7371,45.5831
1,0,358,174.565,235.392,6.56123,4.56104,416.864,-428.725,45.7453,45.5871
1,0,360,175.56,238.705,6.601,4.5887,422.092,-434.049,45.7533,45.5931
1,0,362,176.453,239.711,6.63133,4.61192,426.412,-438.551,45.7618,45.5989
1,0,364,177.162,239.034,6.66727,4.6322,430.056,-442.212,45.7697,45.6065
1,0,366,178.236,242.396,6.69702,4.66004,435.35,-447.571,45.7788,45.6143
1,0,368,178.98,241.114,6.72872,4.67957,438.885,-451.24,45.7869,45.6213
1,0,370,179.97,243.009,6.77094,4.704,443.31,-456.124,45.792,45.6263
